"scientific_name","class","order"
"Urocitellus columbianus","Mammalia","Rodentia"
"Vulpes velox","Mammalia","Carnivora"
"Prionace glauca","Chondrichthyes","Carcharhiniformes"
"Physeter catodon","Mammalia","Artiodactyla"
"Corvus corax","Aves","Passeriformes"
"Falcipennis canadensis","Aves","Galliformes"
"Lagopus leucura","Aves","Galliformes"
"Falco tinnunculus","Aves","Falconiformes"
"Recurvirostra americana","Aves","Charadriiformes"
"Seiurus aurocapilla","Aves","Passeriformes"
"Tyrannus tyrannus","Aves","Passeriformes"
"Bucephala albeola","Aves","Anseriformes"
"Passerculus sandwichensis","Aves","Passeriformes"
"Zonotrichia leucophrys","Aves","Passeriformes"
"Empidonax virescens","Aves","Passeriformes"
"Colaptes auratus","Aves","Piciformes"
"Aix sponsa","Aves","Anseriformes"
"Melanerpes erythrocephalus","Aves","Piciformes"
"Dumetella carolinensis","Aves","Passeriformes"
"Hylocichla mustelina","Aves","Passeriformes"
"Ammodramus savannarum","Aves","Passeriformes"
"Geothlypis trichas","Aves","Passeriformes"
"Icteria virens","Aves","Passeriformes"
"Melospiza melodia","Aves","Passeriformes"
"Passerina caerulea","Aves","Passeriformes"
"Passerina cyanea","Aves","Passeriformes"
"Protonotaria citrea","Aves","Passeriformes"
"Setophaga ruticilla","Aves","Passeriformes"
"Sialia sialis","Aves","Passeriformes"
"Spiza americana","Aves","Passeriformes"
"Lanius ludovicianus","Aves","Passeriformes"
"Pipilo erythrophthalmus","Aves","Passeriformes"
"Charadrius montanus","Aves","Charadriiformes"
"Cardellina canadensis","Aves","Passeriformes"
"Setophaga pensylvanica","Aves","Passeriformes"
"Setophaga petechia","Aves","Passeriformes"
"Spizella passerina","Aves","Passeriformes"
"Sturnella magna","Aves","Passeriformes"
"Sturnella neglecta","Aves","Passeriformes"
"Troglodytes aedon","Aves","Passeriformes"
