"","scientific_name.x","collapsed_name","dispersal_km","dispersal_checked","source_dispersal","dispersal.original.value","dispersal.original.units","Migration_km","migration_checked","Migration_source","migration.original.value","migration.original.units","mean.hra.m2","home_range_checked","source_hra","hra.original.value","hra.original.unit","Mass_kg","Mass_source","mass.checked","number_traits_completed","person","diet","diet.source","media..air..water..land.","medium.source","geographic.range..km2.","geographic.unit.source","IUCN","mean.hra.km2","hr.radius","class","scientific_name"
"66","Vulpes vulpes","vulpesvulpes",18.1687778,"DM - changed source to only Whitmee and Ormee (2012)","Ables (1965), Allen and Sargent (1993); Whitmee and Ormee (2012)","","linear km",65,"CJL","Hein_Gillooly_2011","65","km",11663333.33,"SDS","Lindstedt et al (1986)","1116.333","ha",4.82,"EOL","",4,"MG","Omnivore/Carnivore","EOL","running","Hirt_etal",">20000","IUCN (estimated extent of occurrence)",NA,11.66333333,1.92679897882366,"MAMMALIA","Vulpes vulpes"
"67","Dicrostonyx groenlandicus","dicrostonyxgroenlandicus",20,"CF","Ehrich et al. 2001","20","km - distance between farthest apart populations with known movement between",5.4,"CJL","Hein_Gillooly_2011","5.4","km",2000,"CJL","Mace_Harvey_1983","0.2","ha",0.054,"Hein_Gillooly_2011","",4,"PLT","Herbivore","EOL","","","8253493","IUCN (estimated extent of occurrence)",NA,0.002,0.0252313252202016,"MAMMALIA","Dicrostonyx groenlandicus"
"68","Schistocerca gregaria","schistocercagregaria",2300,"DM","Jenkins_et_al_2007","2300000","m",5000,"CJL","Hein_Gillooly_2011","5000","km",434.78,"MG","Maeno_2016","434.78","with an overall mean density of 0.0023 (SE = ±0.0003) individuals/m2",0.002,"Hein_Gillooly_2011","",4,"CF","Herbivore","Raubenheimer_Simpson_2003","","","","",NA,0.00043478,0.0117641307505055,"NA","Schistocerca gregaria"
"69","Sturnus vulgaris","sturnusvulgaris",9.5,"MG","Prugh_etal","9.5","Km",1000,"CJL","Hein_Gillooly_2011","1000","km",777000,"CF changed-this was the value from long one year of a two year study-1087000","Minderman_2010","2007: 108.7 ± 17.71 ha, 2008: 46.7 ± 6.95 ha","ha",0.082,"Hein_Gillooly_2011","",4,"CF","Omnivore/Omnivore","Pigot_etal_2020","","","33200000","IUCN (estimated extent of occurrence)",NA,0.777,0.497319597004588,"AVES","Sturnus vulgaris"
"70","Crocuta crocuta","crocutacrocuta",10,"CF-changed source and value- previosuly no source","Hofner_East","10","km (average natal dispersal of males. All males disperse, females do not)",80,"CJL","Hein_Gillooly_2011","80","km",2.5e+07,"MG","Gittleman & Harvey (1982)","25","km2",59,"Hein_Gillooly_2011","",4,"","Carnivore","EOL","running","Hirt_etal","","",NA,25,2.82094791773878,"MAMMALIA","Crocuta crocuta"
"71","Equus zebra","equuszebra",120,"CF","Olivier_2019","120","km (said to disperse over entire park system so longest length of park system was estimated from map_",100,"CJL","Hein_Gillooly_2011","100","km",9400000,"MG - value was 9.4e+7","Penzhorn 1982","9.4","km2",240,"Hein_Gillooly_2011","",4,"CJL","Herbivore/Folivore/Grazer","EOL","running","Hirt_etal","779598","IUCN (estimated extent of occurrence)",NA,9.4,1.7297725082009,"MAMMALIA","Equus zebra"
"72","Peromyscus leucopus","peromyscusleucopus",0.184,"CJL - changed value","Santini_2013","0.102","km (weighted mean from 3 studies)",15,"CJL","Hein_Gillooly_2011","15","km",590,"MG - value was 4046.86","Wolff_1985","590","m2",0.021,"Hein_Gillooly_2011","",4,"","Omnivore/Herbivore","EOL","running","Hirt_etal","10686223","IUCN (estimated extent of occurrence)",NA,0.00059,0.0137041173684567,"MAMMALIA","Peromyscus leucopus"
"73","Tursiops truncatus","tursiopstruncatus",1000,"DM","Jenkins_et_al_2007","1000000","m",1100,"CJL","Hein_Gillooly_2011","1100","km",51300000,"MG - value was 1.25E+08","Gubbins_2002","51.3","km2",140,"Hein_Gillooly_2011","",4,"","Carnivore/piscivore","EOL","swimming","Hirt_etal","","",NA,51.3,4.04095250667815,"MAMMALIA","Tursiops truncatus"
"74","Capreolus pygargus","capreoluspygargus",120,"MG","Mysterud_1999","120","Km",500,"CJL","Hein_Gillooly_2011","500","km",1e+06,"MG","Pantheria","0.99","km2",40,"Hein_Gillooly_2011","",4,"","Grazer/Browser/Folivore","EOL","running","Hirt_etal","","",NA,1,0.564189583547756,"MAMMALIA","Capreolus pygargus"
"75","Ovibos moschatus","ovibosmoschatus",5,"SDS","Forschammer_1995","","",320,"CJL","Hein_Gillooly_2011","320","km",25500000,"SDS","Reynolds_1992","25.5","km2",480,"Hein_Gillooly_2011","",4,"","Herbivore/Grazer/Browser","EOL","running","Hirt_etal","","",NA,25.5,2.8490177426065,"MAMMALIA","Ovibos moschatus"
"76","Lemmus sibiricus","lemmussibiricus",0.25,"SDS","Rodgers_1990","","",5.4,"CJL","Hein_Gillooly_2011","5.4","km",18080,"SDS","Rodgers&Lewis_1986","1.808","ha",0.09214,"Tamburello_etal","sds",4,"","Herbivore","Tamburello_etal","walking - land","Tamburello_etal","11322468","IUCN (estimated extent of occurrence)",NA,0.01808,0.0758619980108811,"MAMMALIA","Lemmus sibiricus"
"77","Isurus oxyrinchus","isurusoxyrinchus",4543,"DM","Jenkins_et_al_2007","4543000","m",2400,"CJL","Hein_Gillooly_2011","2400","km",1.04e+09,"SDS - avg of daily movements table","Rogers_et_al_2015","36.39","km",58,"Hein_Gillooly_2011","",4,"MG","Carnivore","EOL","swimming","Hirt_etal","","",NA,1040,18.1945673658689,"CHONDRICHTHYES","Isurus oxyrinchus"
"78","Setophaga kirtlandii","setophagakirtlandii",2.2,"CJL - changed value","Berger_Radabaugh_1968","weighted average of return distances on pages 172 & 174","yards and miles",1900,"CJL","Hein_Gillooly_2011","1900","km",33993.6,"SDS","Schoener_1968","8.4","acres",0.014,"Schoener_1968","",4,"MG","Carnivore/Invertivore","Pigot_etal_2020","","","237000","IUCN (estimated extent of occurrence)",NA,0.0339936,0.104021627304024,"AVES","Setophaga kirtlandii"
"79","Ursus americanus","ursusamericanus",25.6775,"DM - changed to Whitmee and Ormee 2012 only","Rogers (1987); Whitmee and Ormee (2012)","25.6775","linear km",140,"CJL","Hein_Gillooly_2011","140","km",22850000,"CJL","Swithart_etal_1988","2285","ha",100,"Hein_Gillooly_2011","",4,"","Omnivore/Herbivore/Carnivore","EOL","running","Hirt_etal","","",NA,22.85,2.69692063274017,"MAMMALIA","Ursus americanus"
"80","Acrocephalus scirpaceus","acrocephalusscirpaceus",11,"MG","Bulyuk_et_al_2000","Weighted average of post-fledging dispersal","",6000,"CJL","Hein_Gillooly_2011","6000","km",15700,"SDS","Andueza_etal_2015","1.57","ha",0.011,"Hein_Gillooly_2011","sds",4,"","Carnivore/Invertivore","Pigot_etal_2020","","","38000000","IUCN (estimated extent of occurrence)",NA,0.0157,0.0706927521962861,"AVES","Acrocephalus scirpaceus"
"81","Alces alces","alcesalces",118,"CJL","Santini_2013","118","km (max)",200,"CJL","Hein_Gillooly_2011","200","km",93825308.27,"DM","Tamburello_etal","93825308.27","m2",307.22744,"Tamburello_etal","yes",4,"","Herbivore","Tamburello_etal","walking - land","Tamburello_etal","","",NA,93.82530827,5.46493579070997,"MAMMALIA","Alces alces"
"82","Antilocapra americana","antilocapraamericana",54.21,"CJL - changed value","Santini_2013","54.21","km (mean)",260,"CJL","Hein_Gillooly_2011","260","km",10125348.97,"DM","Tamburello_etal","10125348.97","m2",46.0999,"Tamburello_etal","yes",4,"","Herbivore","Tamburello_etal","walking - land","Tamburello_etal","","",NA,10.12534897,1.79527119907045,"MAMMALIA","Antilocapra americana"
"83","Apodemus sylvaticus","apodemussylvaticus",0.5,"DM","Jenkins_et_al_2007","500","m",0,"SDS","Kikkawa_1964","resident","km",13052.09,"DM","Tamburello_etal","13052.09","m2",0.0212,"Tamburello_etal","yes",4,"","Herbivore","Tamburello_etal","walking - land","Tamburello_etal","11314418","IUCN (estimated extent of occurrence)",NA,0.01305209,0.064456258674861,"MAMMALIA","Apodemus sylvaticus"
"84","Capreolus capreolus","capreoluscapreolus",2.12,"CJL - changed value","Santini_2013","2.12","km (mean)",84,"CJL","Hein_Gillooly_2011","84","km",674636.76,"DM","Tamburello_etal","674636.76","m2",24.05027,"Tamburello_etal","yes",4,"","Herbivore","Tamburello_etal","walking - land","Tamburello_etal","","",NA,0.67463676,0.463404305429936,"MAMMALIA","Capreolus capreolus"
"85","Cervus elaphus","cervuselaphus",20,"CJL - changed value","Santini_2013","20","km (max)",24.95,"CJL - changed source","Meisingset_etal_2018","average of male (28.8) and female (21.1) migration distances","km",74865201.87,"DM","Tamburello_etal","74865201.87","m2",234.75778,"Tamburello_etal","yes",4,"","Herbivore","Tamburello_etal","walking - land","Tamburello_etal",">20000","IUCN (estimated extent of occurrence)",NA,74.86520187,4.88163229733316,"MAMMALIA","Cervus elaphus"
"86","Cervus nippon","cervusnippon",1.6,"MG","Davidson_1973","1.6","km (this dispersal value is in New Zealand)",100,"CJL","Hein_Gillooly_2011","100","km",851490.88,"DM","Tamburello_etal","851490.88","m2",29.45032,"Tamburello_etal","yes",4,"","Herbivore","Tamburello_etal","walking - land","Tamburello_etal","","",NA,0.85149088,0.520613066585286,"MAMMALIA","Cervus nippon"
"87","Coracias garrulus","coraciasgarrulus",0.6085,"CJL","Rodriguez_ruiz_et_al_2019","608.5","m",10000,"CJL","Hein_Gillooly_2011","10000","km",1e+06,"DM","Tamburello_etal","1000000","m2",0.103,"Tamburello_etal","yes",4,"","Carnivore/Invertivore","Pigot_etal_2020","flying - air","Tamburello_etal","19900000","IUCN (estimated extent of occurrence)",NA,1,0.564189583547756,"AVES","Coracias garrulus"
"88","Dipodomys merriami","dipodomysmerriami",0.05,"CJL - changed value","Santini_2013","0.05","km  = mean (weighted by m/f numbers)",0,"CF-changed source","May_2004","remain in burrows year round",NA,7374.8,"DM","Tamburello_etal","7374.8","m2",0.04182,"Tamburello_etal","yes",4,"","Herbivore","Tamburello_etal","walking - land","Tamburello_etal","2472799","IUCN (estimated extent of occurrence)",NA,0.0073748,0.0484507146348557,"MAMMALIA","Dipodomys merriami"
"89","Dipodomys spectabilis","dipodomysspectabilis",0.86,"CJL - changed value","Santini_2013","0.86","km (max)",0,"CF-changed source","Cooper_2007","home ranges change in size but not location throughout the year",NA,3008.5,"DM","Tamburello_etal","3008.5","m2",0.14458,"Tamburello_etal","yes",4,"","Herbivore","Tamburello_etal","walking - land","Tamburello_etal","1168386","IUCN (estimated extent of occurrence)",NA,0.0030085,0.0309456829393687,"MAMMALIA","Dipodomys spectabilis"
"90","Dipodomys stephensi","dipodomysstephensi",0.037,"CJL - changed value","Santini_2013","0.037","km  = mean (weighted by m/f numbers)",0,"CF-changed source","IUCN","home ranges stable over time",NA,1480.44,"DM","Tamburello_etal","1480.44","m2",0.0762,"Tamburello_etal","yes",4,"","Herbivore","Tamburello_etal","walking - land","Tamburello_etal","9620.06","IUCN (estimated extent of occurrence)",NA,0.00148044,0.0217080327966845,"MAMMALIA","Dipodomys stephensi"
"91","Fringilla coelebs","fringillacoelebs",22.6,"DM","Jenkins_et_al_2007","22600","m",5000,"CJL","Hein_Gillooly_2011","5000","km",42000,"DM","Tamburello_etal","42000","m2",0.02325,"Tamburello_etal","yes",4,"","Omnivore/Invertivore","Pigot_etal_2020","flying - air","Tamburello_etal","9660000","IUCN (estimated extent of occurrence)",NA,0.042,0.115624457705622,"AVES","Fringilla coelebs"
"92","Gulo gulo","gulogulo",55,"CJL - changed value","Santini_2013","55","km  = mean (weighted by m/f numbers)",0,"CJL - changed source","Beauvais_Johnson_2004","""non-migratory""","km",361917847.3,"DM","Tamburello_etal","361917847.3","m2",21.54567,"Tamburello_etal","yes",4,"","Carnivore","Tamburello_etal","walking - land","Tamburello_etal","","",NA,361.9178473,10.7332208018817,"MAMMALIA","Gulo gulo"
"93","Helogale parvula","helogaleparvula",0.5,"CJL","Santini_2013","0.5","km (median)",0,"CF-changed source","Rood_1990","permanent territories","km",281838.29,"DM","Tamburello_etal","281838.29","m2",0.28184,"Tamburello_etal","yes",4,"","Carnivore","Tamburello_etal","walking - land","Tamburello_etal","","",NA,0.28183829,0.299519471841372,"MAMMALIA","Helogale parvula"
"94","Lanius collurio","laniuscollurio",0.28,"MG","Pasinelli_et_al_2007","374 m and 186 m","m (breeding dispersal females and males)",11000,"CJL","Hein_Gillooly_2011","11000","km",15782.72,"DM","Tamburello_etal","15782.72","m2",0.03,"Tamburello_etal","yes",4,"","Carnivore/Invertivore","Pigot_etal_2020","flying - air","Tamburello_etal","8030000","IUCN (estimated extent of occurrence)",NA,0.01578272,0.0708787401614238,"AVES","Lanius collurio"
"95","Lepus americanus","lepusamericanus",7.177,"CJL - changed value","Santini_2013","7.177","km (mean)",0,"CF-changed source","O'Farrell","home ranges are year round",NA,32716.74,"DM","Tamburello_etal","32716.74","m2",1.36079,"Tamburello_etal","yes",4,"","Herbivore","Tamburello_etal","walking - land","Tamburello_etal","18525598","IUCN (estimated extent of occurrence)",NA,0.03271674,0.102049310559673,"MAMMALIA","Lepus americanus"
"96","Lepus californicus","lepuscalifornicus",45.061,"CJL - changed value","Santini_2013","45.061","km (max)",35,"CJL","Hein_Gillooly_2011","35","km",1592758.75,"DM","Tamburello_etal","1592758.75","m2",2.26798,"Tamburello_etal","yes",4,"","Herbivore","Tamburello_etal","walking - land","Tamburello_etal","6032346","IUCN (estimated extent of occurrence)",NA,1.59275875,0.71203290403656,"MAMMALIA","Lepus californicus"
"97","Lepus europaeus","lepuseuropaeus",2.057,"CJL - changed value","Santini_2013","2.057","km (median)",0,"CJL - changed source","Kunst_etal_2001","""non-migratory""","km",286615.72,"DM","Tamburello_etal","286615.72","m2",5.25001,"Tamburello_etal","yes",4,"","Herbivore","Tamburello_etal","walking - land","Tamburello_etal","","",NA,0.28661572,0.302047375773545,"MAMMALIA","Lepus europaeus"
"98","Lepus timidus","lepustimidus",3,"CJL","Santini_2013","3","km (median)",10,"CJL","Hein_Gillooly_2011","10","km",453241.85,"DM","Tamburello_etal","453241.85","m2",2.82501,"Tamburello_etal","yes",4,"","Herbivore","Tamburello_etal","walking - land","Tamburello_etal","52583508","IUCN (estimated extent of occurrence)",NA,0.45324185,0.379830701348944,"MAMMALIA","Lepus timidus"
"99","Lynx canadensis","lynxcanadensis",88,"CJL - changed value","Santini_2013","88","km (median)",0,"CJL - changed source","IUCN","""not a migrant""","km",82748475.24,"DM","Tamburello_etal","82748475.24","m2",10.20587,"Tamburello_etal","yes",4,"","Carnivore","Tamburello_etal","walking - land","Tamburello_etal","","",NA,82.74847524,5.13221762355481,"MAMMALIA","Lynx canadensis"
"100","Lynx lynx","lynxlynx",39.6,"CJL - changed value","Santini_2013","39.6","km (weighted mean of 2 studies)",0,"CF-changed source","mt.gov","desn't migrate",NA,181042275.7,"DM","Tamburello_etal","181042275.7","m2",29.99991,"Tamburello_etal","yes",4,"","Carnivore","Tamburello_etal","walking - land","Tamburello_etal","42765298","IUCN (estimated extent of occurrence)",NA,181.0422757,7.59128093094449,"MAMMALIA","Lynx lynx"
"101","Lynx rufus","lynxrufus",58.71,"CJL - changed value","Santini_2013","58.71","km (weighted mean of 4 studies)",0,"CF-changed source","Chamberlain_2003","yar round home ranges",NA,39877690.65,"DM","Tamburello_etal","39877690.65","m2",11.33992,"Tamburello_etal","yes",4,"","Carnivore","Tamburello_etal","walking - land","Tamburello_etal","","",NA,39.87769065,3.56278867912116,"MAMMALIA","Lynx rufus"
"102","Macropus fuliginosus","macropusfuliginosus",85,"CJL - changed value","Santini_2013","85","km (max)",0,"CF-changed source","ADW","consistent home ranges",NA,3236532.71,"DM","Tamburello_etal","3236532.71","m2",22.12483,"Tamburello_etal","yes",4,"","Herbivore","Tamburello_etal","walking - land","Tamburello_etal","","",NA,3.23653271,1.01499771356896,"MAMMALIA","Macropus fuliginosus"
"103","Marmota flaviventris","marmotaflaviventris",0.95,"CJL","Santini_2013","0.95","km (average of m and f medians)",0,"CF-changed source","Armit_2009","24 of 793 marmots moved homeranges seasonally",NA,56963.94,"DM","Tamburello_etal","56963.94","m2",3.40197,"Tamburello_etal","yes",4,"","Herbivore","Tamburello_etal","walking - land","Tamburello_etal","2604302","IUCN (estimated extent of occurrence)",NA,0.05696394,0.134655802912389,"MAMMALIA","Marmota flaviventris"
"104","Marmota monax","marmotamonax",0.768,"CJL - changed value","Santini_2013","0.768","km (max)",0,"CF-changed source","Zervanos_2010","hibernate in winter",NA,165390.29,"DM","Tamburello_etal","165390.29","m2",3.40197,"Tamburello_etal","yes",4,"","Herbivore","Tamburello_etal","walking - land","Tamburello_etal","13097672","IUCN (estimated extent of occurrence)",NA,0.16539029,0.229445776569986,"MAMMALIA","Marmota monax"
"105","Martes americana","martesamericana",8.137,"CJL - changed value","Santini_2013","8.137","km (weighed mean of 4 studies)",0,"CF-changed source","http://www.sibr.com/mammals/M154.html","non-migratory",NA,7066103.59,"DM","Tamburello_etal","7066103.59","m2",0.88349,"Tamburello_etal","yes",4,"","Carnivore","Tamburello_etal","walking - land","Tamburello_etal",">2500000","IUCN (estimated extent of occurrence)",NA,7.06610359,1.49973685341655,"MAMMALIA","Martes americana"
"106","Martes pennanti","martespennanti",24.23,"CJL - changed value","Santini_2013","24.23","km (weighed mean of 5 studies)",0,"CJL - changed source","Ahlborn_2005","""non-migratory""","km",16755600.61,"DM","Tamburello_etal","16755600.61","m2",3.17519,"Tamburello_etal","yes",4,"","Carnivore","Tamburello_etal","walking - land","Tamburello_etal","","",NA,16.75560061,2.30943138523537,"MAMMALIA","Martes pennanti"
"107","Microtus agrestis","microtusagrestis",0.0485,"CJL - changed value","Santini_2013","0.0485","km (weighted mean of m/f)",0,"CF-changed source","Erlinge_1990","year round home range",NA,700.42,"DM","Tamburello_etal","700.42","m2",0.038,"Tamburello_etal","yes",4,"","Herbivore","Tamburello_etal","walking - land","Tamburello_etal","20519421","IUCN (estimated extent of occurrence)",NA,0.00070042,0.0149315307480797,"MAMMALIA","Microtus agrestis"
"108","Microtus ochrogaster","microtusochrogaster",0.0205,"CJL","Santini_2013","0.0205","km (average of m and f medians)",0,"CF-changed source","Getz_2005","home rnages fluctuate in size but are maintined all year",NA,674.47,"DM","Tamburello_etal","674.47","m2",0.03544,"Tamburello_etal","yes",4,"","Herbivore","Tamburello_etal","walking - land","Tamburello_etal","3901131","IUCN (estimated extent of occurrence)",NA,0.00067447,0.0146523195752202,"MAMMALIA","Microtus ochrogaster"
"109","Microtus pennsylvanicus","microtuspennsylvanicus",1.2,"CJL - changed value","Santini_2013","1.2","km (max)",0,"CF-changed source","Webster_1981","colonies remain in place year round",NA,411.74,"DM","Tamburello_etal","411.74","m2",0.04961,"Tamburello_etal","yes",4,"","Herbivore","Tamburello_etal","walking - land","Tamburello_etal","22166738","IUCN (estimated extent of occurrence)",NA,0.00041174,0.0114481838095531,"MAMMALIA","Microtus pennsylvanicus"
"110","Motacilla flava","motacillaflava",35.5,"DM","Jenkins_et_al_2007","35500","m",8000,"CJL","Hein_Gillooly_2011","8000","km",10117.13,"DM","Tamburello_etal","10117.13","m2",0.0175,"Tamburello_etal","yes",4,"","Carnivore/Invertivore","Pigot_etal_2020","flying - air","Tamburello_etal","40900000","IUCN (estimated extent of occurrence)",NA,0.01011713,0.0567484140642416,"AVES","Motacilla flava"
"111","Muscicapa striata","muscicapastriata",48,"DM","Jenkins_et_al_2007","48000","m",13000,"CJL","Hein_Gillooly_2011","13000","km",10000,"DM","Tamburello_etal","10000","m2",0.0128,"Tamburello_etal","yes",4,"","Carnivore/Invertivore","Pigot_etal_2020","flying - air","Tamburello_etal","20600000","IUCN (estimated extent of occurrence)",NA,0.01,0.0564189583547756,"AVES","Muscicapa striata"
"112","Mustela erminea","mustelaerminea",5.6,"DM","Jenkins_et_al_2007","5600","m",0,"CJL - changed source","IUCN","""not a migrant""","km",1323244.2,"DM","Tamburello_etal","1323244.2","m2",0.27054,"Tamburello_etal","yes",4,"","Carnivore","Tamburello_etal","walking - land","Tamburello_etal","","",NA,1.3232442,0.649000547530864,"MAMMALIA","Mustela erminea"
"113","Neotoma cinerea","neotomacinerea",2.2,"CJL","Santini_2013","2.2","km (max)",0,"CF-changed source","ADW","maintain the smae nests and middens trhoughout the year",NA,47616.78,"DM","Tamburello_etal","47616.78","m2",0.39548,"Tamburello_etal","yes",4,"","Herbivore","Tamburello_etal","walking - land","Tamburello_etal","4989974","IUCN (estimated extent of occurrence)",NA,0.04761678,0.12311332918185,"MAMMALIA","Neotoma cinerea"
"114","Ochotona princeps","ochotonaprinceps",0.09,"CJL","Santini_2013","0.09","km (mean)",0,"CF-changed source","Huntly_1981","switch to eating hay stocks in winter",NA,1866.34,"DM","Tamburello_etal","1866.34","m2",0.1465,"Tamburello_etal","yes",4,"","Herbivore","Tamburello_etal","walking - land","Tamburello_etal","","",NA,0.00186634,0.024373642997719,"MAMMALIA","Ochotona princeps"
